time,x_m,y_m,z_m
0.8923,0.2213,0.0077,0.4420
0.9788,0.1894,0.0082,0.4036
1.0908,0.1451,0.0085,0.3495
1.1978,0.0968,0.0133,0.2739
1.2872,0.0981,0.0118,0.2520
1.3816,0.1343,0.0134,0.2656
1.4659,0.1943,0.0141,0.3061
1.5637,0.2621,0.0142,0.3527
1.6613,0.3318,0.0202,0.3769
1.7466,0.4156,0.0193,0.4138
1.8205,0.5241,0.0196,0.4222
1.8813,0.6316,0.0201,0.4100
1.9410,0.7302,0.0209,0.3945
2.0100,0.8260,0.0226,0.3759
2.0744,0.9372,0.0193,0.3761
2.1417,1.0515,0.0230,0.3400
2.2169,1.1568,0.0259,0.2978
2.2915,1.2390,0.0281,0.2449
2.3362,1.3052,0.0277,0.2089
2.4114,1.3327,0.0340,0.1881
2.4744,1.3594,0.0308,0.1438
2.5417,1.3797,0.0277,0.1032
2.6114,1.3871,0.0244,0.0691
2.6793,1.3838,0.0214,0.0215
2.7416,1.3744,0.0196,-0.0392
2.8061,1.3634,0.0210,-0.1086
2.8644,1.3357,0.0200,-0.1486
2.9134,1.2922,0.0182,-0.1714
2.9777,1.2460,0.0161,-0.1971
3.0393,1.1821,0.0142,-0.2144
3.1055,1.1201,0.0138,-0.2321
3.1670,1.0507,0.0134,-0.2463
3.3429,0.9475,0.0283,-0.2494
3.3931,0.8522,0.0257,-0.2518
3.4317,0.7563,0.0234,-0.2564
3.4614,0.6648,0.0202,-0.2565
3.4913,0.5784,0.0176,-0.2528
3.5269,0.5039,0.0164,-0.2399
3.5977,0.4456,0.0188,-0.2137
3.6352,0.3999,0.0190,-0.1825
3.6774,0.3673,0.0189,-0.1420
3.7295,0.3441,0.0185,-0.0967
3.7706,0.3371,0.0163,-0.0234
3.8115,0.3344,0.0158,0.0436
3.8612,0.3373,0.0171,0.1072
3.9055,0.3505,0.0148,0.1949
3.9426,0.3681,0.0127,0.2882
3.9957,0.3869,0.0135,0.3747
4.0437,0.4137,0.0121,0.4762
4.0966,0.4418,0.0124,0.5731
4.1402,0.4761,0.0109,0.6881
4.1901,0.5112,0.0104,0.8015
4.2292,0.5464,0.0095,0.9101
4.2737,0.5911,0.0144,1.0066
4.3254,0.6358,0.0142,1.1168
4.3726,0.6827,0.0130,1.2175
4.4361,0.7254,0.0122,1.3004
4.4777,0.7666,0.0110,1.3663
4.5258,0.8037,0.0134,1.4052
4.5710,0.8493,0.0172,1.4319
4.6054,0.8970,0.0163,1.4704
4.6647,0.9470,0.0200,1.4839
4.6932,0.9926,0.0220,1.4964
4.7347,1.0377,0.0245,1.5037
4.7760,1.0821,0.0264,1.5098
4.8287,1.1228,0.0275,1.5139
4.8773,1.1699,0.0344,1.5013
4.9671,1.2146,0.0530,1.5096
5.0126,1.2701,0.0470,1.5173
5.0679,1.3319,0.0469,1.5035
5.1066,1.3843,0.0451,1.4965
5.1493,1.4286,0.0425,1.4962
5.2020,1.4729,0.0403,1.4878
5.2369,1.5071,0.0402,1.4623
5.2776,1.4914,0.0341,1.4284
5.3297,1.4607,0.0306,1.3843
5.3768,1.3920,0.0294,1.3042
5.4270,1.3129,0.0252,1.2219
5.4651,1.2085,0.0230,1.1119
5.5046,1.1033,0.0231,1.0028
5.5448,0.9968,0.0202,0.8960
5.5932,0.8884,0.0192,0.7879
5.6407,0.7664,0.0201,0.6572
5.6804,0.6485,0.0205,0.5343
5.7142,0.5534,0.0223,0.4328
5.7666,0.4855,0.0231,0.3642
5.8025,0.4434,0.0206,0.3390
5.8396,0.4200,0.0179,0.3374
5.8836,0.4120,0.0155,0.3523
5.9369,0.4276,0.0141,0.3905
5.9765,0.4497,0.0122,0.4350
6.0303,0.4775,0.0115,0.4841
6.0697,0.5185,0.0118,0.5471
6.1143,0.5612,0.0109,0.6089
6.1733,0.6056,0.0096,0.6757
6.2143,0.6588,0.0083,0.7501
6.2482,0.7194,0.0074,0.8335
6.3048,0.7770,0.0077,0.9093
6.3535,0.8271,0.0070,0.9699
6.4034,0.8657,0.0061,1.0082
6.4401,0.8968,0.0058,1.0294
6.4829,0.9228,0.0052,1.0489
6.5350,0.9445,0.0062,1.0442
6.5780,0.9615,0.0079,1.0320
6.6337,0.9757,0.0108,1.0132
6.6723,0.9872,0.0119,0.9990
6.7130,0.9976,0.0132,0.9852
6.7690,1.0065,0.0149,0.9665
6.8058,1.0170,0.0165,0.9450
6.8545,1.0265,0.0177,0.9194
6.9031,1.0341,0.0180,0.8976
6.9426,1.0406,0.0170,0.8791
7.0002,1.0488,0.0174,0.8576
7.0411,1.0567,0.0185,0.8274
7.0888,1.0640,0.0186,0.8058
7.1432,1.0692,0.0173,0.7894
7.1980,1.0699,0.0147,0.7814
7.2373,1.0634,0.0127,0.7749
7.2715,1.0541,0.0132,0.7714
7.3175,1.0430,0.0123,0.7722
7.3722,1.0265,0.0124,0.7860
7.4120,1.0102,0.0118,0.7849
7.4576,0.9871,0.0115,0.7881
7.4897,0.9608,0.0127,0.7909
7.5386,0.9382,0.0126,0.8041
7.5808,0.9154,0.0141,0.8065
7.6114,0.8945,0.0141,0.8175
7.6582,0.8734,0.0161,0.8162
7.7030,0.8488,0.0177,0.8208
7.7427,0.8252,0.0193,0.8229
7.7823,0.8023,0.0202,0.8284
7.8365,0.7777,0.0190,0.8402
