time,x_m,y_m,z_m
0.7470,0.4965,0.0023,0.7919
0.7933,0.4972,0.0030,0.7937
0.8502,0.4973,0.0031,0.7953
0.9022,0.4970,0.0029,0.7929
0.9780,0.4969,0.0030,0.7927
1.0782,0.4964,0.0033,0.7889
1.1644,0.4920,0.0076,0.7660
1.2304,0.4883,0.0107,0.7546
1.3080,0.4851,0.0143,0.7369
1.3763,0.4817,0.0172,0.7239
1.4285,0.4799,0.0200,0.7108
1.4832,0.4803,0.0191,0.7154
1.5475,0.4783,0.0208,0.7077
1.6019,0.4782,0.0188,0.7147
1.6534,0.4788,0.0167,0.7226
1.7080,0.4781,0.0149,0.7274
1.7579,0.4751,0.0164,0.7219
1.8044,0.4760,0.0152,0.7268
1.9603,0.4764,0.0136,0.7329
2.0070,0.4773,0.0127,0.7381
2.0580,0.4776,0.0117,0.7425
2.1140,0.4780,0.0102,0.7481
2.1576,0.4782,0.0099,0.7510
2.2410,0.4783,0.0097,0.7534
2.2817,0.4784,0.0102,0.7517
2.3924,0.4785,0.0097,0.7541
2.4423,0.4788,0.0085,0.7579
2.4923,0.4773,0.0098,0.7537
2.5498,0.4769,0.0100,0.7538
2.5913,0.4777,0.0098,0.7559
2.6609,0.4768,0.0107,0.7519
2.7114,0.4763,0.0114,0.7504
2.7630,0.4760,0.0108,0.7511
2.8204,0.4756,0.0107,0.7497
2.8693,0.4761,0.0100,0.7524
2.9257,0.4766,0.0094,0.7546
2.9820,0.4774,0.0087,0.7565
3.0338,0.4763,0.0080,0.7582
3.0836,0.4770,0.0071,0.7615
3.1281,0.4773,0.0075,0.7623
3.1874,0.4776,0.0078,0.7631
3.2321,0.4778,0.0070,0.7637
3.2954,0.4760,0.0065,0.7624
3.3572,0.4754,0.0080,0.7575
3.4103,0.4759,0.0079,0.7590
3.4501,0.4764,0.0078,0.7602
3.5303,0.4770,0.0082,0.7594
3.5879,0.4773,0.0075,0.7606
3.6302,0.4763,0.0092,0.7540
3.6876,0.4760,0.0091,0.7541
3.7438,0.4763,0.0089,0.7542
3.7949,0.4765,0.0089,0.7543
3.8497,0.4773,0.0082,0.7562
3.9000,0.4776,0.0075,0.7579
3.9597,0.4778,0.0073,0.7593
4.0274,0.4784,0.0071,0.7605
4.0693,0.4790,0.0065,0.7615
4.1269,0.4781,0.0075,0.7586
4.1675,0.4785,0.0070,0.7618
4.2325,0.4788,0.0077,0.7607
4.2923,0.4786,0.0082,0.7598
4.3303,0.4787,0.0084,0.7610
4.3765,0.4788,0.0085,0.7581
4.4232,0.4779,0.0092,0.7557
4.4698,0.4783,0.0088,0.7556
4.5305,0.4787,0.0085,0.7592
4.5857,0.4787,0.0087,0.7604
4.6323,0.4790,0.0085,0.7596
4.6926,0.4795,0.0083,0.7607
4.7497,0.4792,0.0082,0.7598
4.7933,0.4794,0.0081,0.7591
4.8431,0.4798,0.0074,0.7603
4.8828,0.4795,0.0078,0.7595
4.9298,0.4796,0.0067,0.7625
4.9888,0.4793,0.0076,0.7614
5.0388,0.4795,0.0080,0.7604
5.0975,0.4799,0.0079,0.7614
5.1552,0.4800,0.0074,0.7604
5.2110,0.4794,0.0066,0.7615
5.2667,0.4794,0.0071,0.7623
5.3259,0.4798,0.0071,0.7631
5.3825,0.4799,0.0076,0.7618
5.4255,0.4789,0.0084,0.7589
5.4705,0.4787,0.0072,0.7620
5.5323,0.4790,0.0066,0.7647
5.5953,0.4790,0.0067,0.7651
5.6411,0.4790,0.0066,0.7655
5.7135,0.4790,0.0063,0.7657
5.7645,0.4790,0.0058,0.7660
5.8253,0.4795,0.0061,0.7662
5.8685,0.4794,0.0062,0.7664
5.9319,0.4774,0.0084,0.7569
5.9918,0.4774,0.0086,0.7566
6.0321,0.4777,0.0080,0.7582
6.0965,0.4770,0.0086,0.7558
6.1386,0.4778,0.0082,0.7575
6.1907,0.4780,0.0075,0.7590
6.2290,0.4777,0.0076,0.7603
6.2742,0.4777,0.0078,0.7595
6.3286,0.4781,0.0071,0.7625
6.3765,0.4783,0.0067,0.7632
6.4264,0.4784,0.0062,0.7639
6.4677,0.4785,0.0060,0.7644
6.5349,0.4788,0.0058,0.7629
6.5861,0.4789,0.0056,0.7636
6.6354,0.4791,0.0054,0.7660
6.6932,0.4791,0.0049,0.7662
6.7605,0.4793,0.0044,0.7683
6.8348,0.4784,0.0055,0.7644
6.8845,0.4765,0.0065,0.7591
6.9324,0.4767,0.0067,0.7585
6.9897,0.4775,0.0062,0.7598
7.0297,0.4782,0.0059,0.7609
7.0930,0.4785,0.0052,0.7638
7.1660,0.4777,0.0059,0.7605
7.2163,0.4762,0.0077,0.7539
7.2594,0.4742,0.0085,0.7503
7.3012,0.4749,0.0079,0.7528
7.3616,0.4753,0.0080,0.7531
7.4148,0.4754,0.0077,0.7553
7.4607,0.4760,0.0067,0.7571
7.5171,0.4747,0.0085,0.7510
7.5618,0.4747,0.0089,0.7516
7.6080,0.4753,0.0087,0.7540
7.6607,0.4757,0.0090,0.7541
7.7088,0.4762,0.0086,0.7561
7.7671,0.4766,0.0080,0.7578
7.8277,0.4770,0.0080,0.7592
7.9006,0.4773,0.0077,0.7604
7.9863,0.4780,0.0071,0.7615
8.0456,0.4782,0.0067,0.7623
8.1123,0.4783,0.0058,0.7631
8.1846,0.4773,0.0055,0.7619
8.2306,0.4774,0.0056,0.7608
8.2775,0.4781,0.0051,0.7655
8.3246,0.4787,0.0054,0.7658
8.3762,0.4787,0.0059,0.7660
8.4223,0.4754,0.0084,0.7567
8.4632,0.4762,0.0078,0.7602
8.5225,0.4762,0.0084,0.7575
8.5634,0.4728,0.0104,0.7494
8.6134,0.4669,0.0137,0.7326
8.6550,0.4544,0.0165,0.6927
8.7026,0.4385,0.0169,0.6498
8.7619,0.4128,0.0150,0.5917
8.8116,0.3831,0.0153,0.5159
8.8649,0.3435,0.0178,0.4100
8.9276,0.3065,0.0203,0.3169
8.9916,0.2672,0.0200,0.2180
9.0323,0.2578,0.0229,0.1463
9.0945,0.2704,0.0221,0.1191
9.1449,0.3045,0.0280,0.0920
9.1949,0.3794,0.0370,0.1245
9.2541,0.4539,0.0425,0.1284
9.2966,0.5433,0.0434,0.1565
9.4000,0.6317,0.0415,0.1920
9.4553,0.7167,0.0390,0.2122
9.4994,0.8047,0.0335,0.2213
9.5500,0.8864,0.0299,0.2237
9.5900,0.9690,0.0269,0.1866
9.6261,1.0442,0.0232,0.1519
9.6625,1.1094,0.0207,0.1282
9.7280,1.1707,0.0185,0.0929
9.7755,1.2332,0.0158,0.0401
9.8216,1.2943,0.0181,-0.0329
9.8593,1.3327,0.0174,-0.0870
9.8984,1.3568,0.0213,-0.1545
9.9577,1.3632,0.0228,-0.2000
10.0036,1.3480,0.0227,-0.2305
10.0544,1.3251,0.0213,-0.2455
10.1091,1.2888,0.0209,-0.2574
10.1524,1.2452,0.0185,-0.2635
10.1978,1.2012,0.0172,-0.2751
10.2345,1.1565,0.0157,-0.2779
10.2884,1.1132,0.0138,-0.2733
10.3300,1.0641,0.0120,-0.2688
10.3749,1.0164,0.0104,-0.2680
10.4213,0.9640,0.0100,-0.2701
10.4622,0.9085,0.0115,-0.2886
10.5062,0.8520,0.0150,-0.3075
10.5638,0.7851,0.0164,-0.3189
10.6160,0.7190,0.0160,-0.3247
10.6646,0.6433,0.0162,-0.3322
10.7201,0.5728,0.0158,-0.3211
10.7599,0.5189,0.0157,-0.2989
10.8053,0.4816,0.0149,-0.2648
10.8609,0.4597,0.0145,-0.2333
10.9094,0.4544,0.0151,-0.1867
10.9783,0.4617,0.0138,-0.1285
11.0271,0.4773,0.0137,-0.0665
11.0644,0.4963,0.0135,-0.0042
11.1131,0.5168,0.0123,0.0558
11.1666,0.5436,0.0123,0.1269
11.2187,0.5711,0.0133,0.1872
11.2606,0.6038,0.0118,0.2571
11.3272,0.6367,0.0114,0.3320
11.3733,0.6752,0.0098,0.4120
11.4194,0.7170,0.0084,0.4984
11.4648,0.7587,0.0079,0.5733
11.5294,0.8003,0.0072,0.6494
11.5664,0.8453,0.0064,0.7272
11.6088,0.8884,0.0065,0.8017
11.6575,0.9369,0.0060,0.8833
11.7013,0.9826,0.0057,0.9635
11.7511,1.0272,0.0072,1.0374
11.7914,1.0772,0.0075,1.1166
11.8343,1.1232,0.0069,1.1931
11.8898,1.1670,0.0080,1.2677
11.9378,1.2172,0.0097,1.3357
11.9896,1.2590,0.0094,1.3971
12.0329,1.2949,0.0110,1.4419
12.0821,1.3246,0.0116,1.4837
12.1294,1.3494,0.0114,1.5229
12.1788,1.3711,0.0113,1.5562
12.2286,1.3900,0.0112,1.5872
12.2725,1.4061,0.0107,1.6144
12.3265,1.4207,0.0103,1.6376
12.3672,1.4345,0.0120,1.6528
12.4176,1.4471,0.0137,1.6638
12.4687,1.4519,0.0129,1.6751
12.5287,1.4359,0.0149,1.6456
12.5797,1.3863,0.0172,1.5651
12.6244,1.3080,0.0164,1.4602
12.6664,1.2260,0.0159,1.3531
12.7215,1.1414,0.0149,1.2426
12.7739,1.0423,0.0129,1.1140
12.8259,0.9311,0.0127,0.9649
12.8654,0.8261,0.0148,0.8216
12.9256,0.7246,0.0149,0.6791
12.9676,0.6315,0.0164,0.5357
13.0178,0.5653,0.0164,0.4327
13.0612,0.5323,0.0159,0.3626
13.0977,0.5138,0.0151,0.3084
13.1431,0.5086,0.0144,0.2706
13.2046,0.5226,0.0145,0.2543
13.2555,0.5418,0.0131,0.2506
13.3016,0.5723,0.0117,0.2522
13.3425,0.6034,0.0167,0.2293
13.3907,0.6412,0.0276,0.1802
13.4862,0.6846,0.0307,0.1644
13.5330,0.7458,0.0323,0.1527
13.5771,0.8058,0.0284,0.1640
13.6305,0.8734,0.0252,0.1596
13.6810,0.9388,0.0223,0.1473
13.7267,1.0073,0.0196,0.1307
13.7709,1.0738,0.0184,0.1015
13.8236,1.1362,0.0157,0.0824
13.8646,1.2033,0.0159,0.0504
13.9141,1.2475,0.0156,0.0207
13.9521,1.2521,0.0169,-0.0191
13.9980,1.2396,0.0154,-0.0393
14.0542,1.2164,0.0174,-0.0655
14.0965,1.1715,0.0167,-0.0834
14.1430,1.1224,0.0149,-0.1012
14.1851,1.0592,0.0139,-0.1187
14.2187,0.9969,0.0126,-0.1299
14.2589,0.9324,0.0126,-0.1486
14.3019,0.8668,0.0109,-0.1608
14.3556,0.8002,0.0100,-0.1806
14.3979,0.7226,0.0095,-0.1998
14.4556,0.6462,0.0096,-0.2156
14.4932,0.5619,0.0086,-0.2315
14.5362,0.4920,0.0092,-0.2383
14.5933,0.4407,0.0110,-0.2345
14.6561,0.4149,0.0097,-0.2041
14.7100,0.4079,0.0096,-0.1559
14.7424,0.4142,0.0103,-0.1047
14.7746,0.4255,0.0096,-0.0484
14.8236,0.4405,0.0084,0.0141
14.8574,0.4581,0.0082,0.0718
14.8961,0.4782,0.0073,0.1366
14.9441,0.4999,0.0084,0.1982
14.9933,0.5285,0.0085,0.2628
15.0639,0.5579,0.0092,0.3316
15.1302,0.5930,0.0089,0.4048
15.1884,0.6332,0.0091,0.4827
15.2329,0.6777,0.0088,0.5713
15.2874,0.7213,0.0075,0.6525
15.3326,0.7701,0.0074,0.7479
15.3848,0.8174,0.0089,0.8416
15.4331,0.8759,0.0121,0.9095
15.4771,0.9328,0.0120,0.9797
15.5365,0.9975,0.0120,1.0521
15.5900,1.0613,0.0109,1.1180
15.6489,1.1348,0.0105,1.1846
15.6935,1.2141,0.0096,1.2532
15.7368,1.2886,0.0094,1.3191
15.7849,1.3606,0.0087,1.3788
15.8393,1.4418,0.0080,1.4338
