time,x_m,y_m,z_m
0.7383,0.2488,0.1110,0.6862
0.7724,0.2477,0.1107,0.6873
0.8052,0.2545,0.1108,0.6872
0.8385,0.2608,0.1107,0.6882
0.8722,0.2691,0.1086,0.7027
0.9052,0.2777,0.1052,0.7202
0.9416,0.2867,0.0991,0.7430
0.9716,0.2941,0.0938,0.7634
1.0047,0.3011,0.0891,0.7807
1.0383,0.3062,0.0857,0.7945
1.0721,0.3109,0.0825,0.8062
1.1053,0.3150,0.0795,0.8171
1.1390,0.3180,0.0775,0.8254
1.1727,0.3205,0.0758,0.8324
1.2056,0.3231,0.0741,0.8384
1.2372,0.3253,0.0727,0.8435
1.2715,0.3267,0.0717,0.8478
1.3050,0.3279,0.0709,0.8515
1.3382,0.3292,0.0703,0.8537
1.3715,0.3303,0.0697,0.8555
1.4045,0.3308,0.0695,0.8570
1.4375,0.3317,0.0691,0.8584
1.4716,0.3320,0.0690,0.8595
1.5052,0.3331,0.0686,0.8604
1.5368,0.3340,0.0690,0.8612
1.5672,0.3330,0.0703,0.8609
1.5997,0.3330,0.0712,0.8607
1.6289,0.3338,0.0718,0.8605
1.6611,0.3340,0.0722,0.8603
1.6926,0.3344,0.0721,0.8611
1.7105,0.3342,0.0727,0.8608
1.7383,0.3344,0.0730,0.8606
1.7718,0.3342,0.0735,0.8604
1.8063,0.3340,0.0740,0.8602
1.8387,0.3342,0.0741,0.8601
1.8723,0.3340,0.0744,0.8600
1.9053,0.3342,0.0745,0.8598
1.9388,0.3344,0.0745,0.8598
1.9720,0.3346,0.0745,0.8597
2.0055,0.3347,0.0746,0.8596
2.0384,0.3348,0.0746,0.8596
2.0723,0.3345,0.0749,0.8595
2.1057,0.3343,0.0751,0.8595
2.1390,0.3345,0.0750,0.8594
2.1721,0.3342,0.0753,0.8594
2.2061,0.3344,0.0752,0.8594
2.2385,0.3346,0.0751,0.8594
2.2726,0.3347,0.0750,0.8594
2.3056,0.3348,0.0750,0.8593
2.3398,0.3349,0.0750,0.8593
2.3723,0.3345,0.0757,0.8583
2.4063,0.3346,0.0755,0.8585
2.4392,0.3346,0.0760,0.8576
2.4725,0.3342,0.0766,0.8568
2.5059,0.3338,0.0770,0.8562
2.5393,0.3339,0.0773,0.8557
2.5719,0.3336,0.0776,0.8552
2.6070,0.3334,0.0780,0.8548
2.6385,0.3337,0.0775,0.8555
2.6728,0.3334,0.0778,0.8551
2.7070,0.3337,0.0774,0.8557
2.7389,0.3338,0.0775,0.8552
2.7726,0.3341,0.0771,0.8558
2.8057,0.3338,0.0775,0.8554
2.8396,0.3339,0.0777,0.8550
2.8735,0.3341,0.0772,0.8556
2.9059,0.3343,0.0768,0.8561
2.9391,0.3343,0.0771,0.8556
2.9731,0.3340,0.0775,0.8552
3.0057,0.3337,0.0778,0.8548
3.0394,0.3338,0.0779,0.8545
3.0726,0.3339,0.0780,0.8542
3.1059,0.3336,0.0783,0.8540
3.1395,0.3339,0.0778,0.8548
3.1731,0.3336,0.0781,0.8544
3.2060,0.3339,0.0776,0.8552
3.2397,0.3341,0.0771,0.8558
3.2730,0.3343,0.0768,0.8563
3.3084,0.3345,0.0765,0.8567
3.3396,0.3341,0.0770,0.8561
3.3728,0.3342,0.0772,0.8556
3.4064,0.3342,0.0774,0.8552
3.4416,0.3344,0.0770,0.8558
3.4730,0.3346,0.0766,0.8563
3.5062,0.3347,0.0764,0.8567
3.5396,0.3348,0.0761,0.8571
3.5738,0.3349,0.0759,0.8574
3.6073,0.3350,0.0757,0.8577
3.6397,0.3351,0.0756,0.8579
3.6735,0.3351,0.0754,0.8581
3.7064,0.3352,0.0753,0.8583
3.7405,0.3351,0.0758,0.8575
