time,x_m,y_m,z_m
0.7993,0.3448,0.1082,0.6867
0.8283,0.3466,0.1073,0.6910
0.8622,0.3475,0.1003,0.7172
0.8959,0.3491,0.0940,0.7405
0.9292,0.3512,0.0885,0.7623
0.9625,0.3538,0.0835,0.7818
0.9956,0.3557,0.0793,0.7983
1.0300,0.3573,0.0757,0.8124
1.0620,0.3583,0.0726,0.8243
1.0954,0.3595,0.0700,0.8345
1.1291,0.3602,0.0678,0.8431
1.1668,0.3606,0.0662,0.8495
1.1965,0.3605,0.0649,0.8549
1.2327,0.3588,0.0638,0.8585
1.2617,0.3581,0.0630,0.8616
1.2968,0.3558,0.0626,0.8632
1.3416,0.3551,0.0619,0.8656
1.3749,0.3542,0.0613,0.8676
1.4046,0.3537,0.0612,0.8683
1.4395,0.3526,0.0607,0.8699
1.4753,0.3523,0.0606,0.8703
1.5158,0.3518,0.0602,0.8716
1.5466,0.3516,0.0602,0.8717
1.5812,0.3514,0.0602,0.8718
1.6153,0.3509,0.0602,0.8719
1.6529,0.3508,0.0602,0.8720
1.6941,0.3508,0.0602,0.8721
1.7359,0.3506,0.0603,0.8712
1.7834,0.3498,0.0603,0.8713
1.8306,0.3499,0.0603,0.8715
1.8672,0.3496,0.0602,0.8717
1.9082,0.3492,0.0606,0.8708
1.9487,0.3494,0.0605,0.8710
1.9865,0.3492,0.0605,0.8713
2.0263,0.3490,0.0604,0.8714
2.0654,0.3488,0.0604,0.8716
2.1069,0.3487,0.0604,0.8717
2.1423,0.3486,0.0603,0.8718
2.1756,0.3485,0.0603,0.8719
2.2141,0.3483,0.0606,0.8710
2.2540,0.3481,0.0609,0.8702
2.2926,0.3484,0.0608,0.8706
2.3335,0.3488,0.0607,0.8709
2.3745,0.3486,0.0606,0.8711
2.4157,0.3484,0.0609,0.8703
2.4579,0.3487,0.0608,0.8706
2.4991,0.3486,0.0607,0.8709
2.5287,0.3483,0.0609,0.8702
2.5712,0.3481,0.0611,0.8695
2.6107,0.3481,0.0610,0.8700
2.6422,0.3481,0.0609,0.8703
2.6810,0.3481,0.0608,0.8706
2.7236,0.3479,0.0610,0.8699
2.7710,0.3478,0.0612,0.8693
2.8104,0.3476,0.0614,0.8688
2.8517,0.3475,0.0615,0.8684
2.8956,0.3474,0.0616,0.8680
2.9391,0.3474,0.0617,0.8677
2.9841,0.3473,0.0618,0.8674
3.0231,0.3473,0.0619,0.8672
3.0665,0.3477,0.0616,0.8680
3.1053,0.3476,0.0617,0.8677
3.1518,0.3475,0.0618,0.8674
3.1971,0.3476,0.0616,0.8682
3.2367,0.3476,0.0614,0.8688
3.2811,0.3475,0.0615,0.8684
3.3342,0.3478,0.0614,0.8680
3.3843,0.3477,0.0615,0.8677
3.4225,0.3476,0.0616,0.8674
3.4514,0.3476,0.0614,0.8682
3.4808,0.3477,0.0612,0.8688
3.5211,0.3476,0.0614,0.8684
3.5505,0.3475,0.0615,0.8680
3.5783,0.3474,0.0617,0.8677
3.6058,0.3477,0.0615,0.8674
3.6475,0.3476,0.0616,0.8672
3.6756,0.3475,0.0617,0.8670
3.7060,0.3474,0.0618,0.8668
3.7389,0.3474,0.0619,0.8667
3.7739,0.3473,0.0619,0.8666
3.8191,0.3471,0.0623,0.8655
3.8581,0.3471,0.0623,0.8655
3.8999,0.3474,0.0621,0.8656
3.9406,0.3474,0.0621,0.8656
3.9882,0.3473,0.0621,0.8657
4.0317,0.3473,0.0622,0.8657
4.0783,0.3472,0.0622,0.8657
4.1220,0.3476,0.0619,0.8658
4.1656,0.3475,0.0620,0.8658
4.2049,0.3470,0.0620,0.8658
4.2438,0.3471,0.0618,0.8668
4.2872,0.3471,0.0618,0.8667
4.3331,0.3471,0.0619,0.8665
4.3773,0.3475,0.0617,0.8665
4.4299,0.3474,0.0618,0.8664
4.4738,0.3473,0.0619,0.8663
4.5273,0.3473,0.0619,0.8662
4.5790,0.3472,0.0620,0.8662
4.6200,0.3472,0.0620,0.8661
4.6607,0.3471,0.0621,0.8661
4.7037,0.3471,0.0621,0.8661
4.7459,0.3471,0.0621,0.8660
4.7928,0.3471,0.0622,0.8660
4.8429,0.3469,0.0625,0.8650
4.8999,0.3464,0.0628,0.8642
4.9565,0.3465,0.0627,0.8644
5.0132,0.3465,0.0627,0.8646
5.0661,0.3466,0.0626,0.8648
5.1104,0.3460,0.0634,0.8630
5.1591,0.3457,0.0632,0.8634
5.2064,0.3459,0.0631,0.8638
5.2507,0.3461,0.0630,0.8641
5.2842,0.3462,0.0629,0.8644
5.3146,0.3463,0.0628,0.8646
5.3429,0.3468,0.0625,0.8648
5.3741,0.3468,0.0624,0.8650
5.4073,0.3472,0.0622,0.8651
5.4413,0.3470,0.0625,0.8642
5.4742,0.3470,0.0625,0.8645
5.5075,0.3470,0.0624,0.8647
5.5396,0.3470,0.0624,0.8649
5.5747,0.3470,0.0624,0.8650
5.6071,0.3470,0.0624,0.8652
5.6398,0.3470,0.0624,0.8653
5.6770,0.3471,0.0621,0.8663
5.7082,0.3470,0.0624,0.8653
5.7407,0.3470,0.0624,0.8654
5.7739,0.3464,0.0627,0.8645
5.8079,0.3465,0.0626,0.8647
5.8394,0.3466,0.0626,0.8649
5.8719,0.3470,0.0623,0.8650
5.9051,0.3475,0.0620,0.8661
5.9430,0.3478,0.0618,0.8661
5.9767,0.3477,0.0618,0.8661
6.0077,0.3476,0.0619,0.8660
6.0383,0.3471,0.0620,0.8660
6.0687,0.3469,0.0623,0.8650
6.1026,0.3469,0.0623,0.8651
6.1345,0.3469,0.0623,0.8653
6.1706,0.3469,0.0623,0.8654
6.2102,0.3469,0.0623,0.8654
6.2375,0.3469,0.0623,0.8655
6.2690,0.3464,0.0626,0.8646
6.3029,0.3470,0.0623,0.8658
6.3338,0.3474,0.0620,0.8658
6.3694,0.3475,0.0617,0.8668
6.4033,0.3474,0.0618,0.8666
6.4358,0.3453,0.0642,0.8606
6.4675,0.3426,0.0670,0.8523
6.5006,0.3434,0.0660,0.8553
6.5354,0.3437,0.0651,0.8579
6.5696,0.3452,0.0641,0.8611
6.6024,0.3467,0.0630,0.8647
6.6356,0.3480,0.0622,0.8679
6.6704,0.3492,0.0611,0.8715
6.7024,0.3502,0.0602,0.8746
6.7346,0.3511,0.0595,0.8772
6.7696,0.3518,0.0588,0.8794
6.8018,0.3525,0.0583,0.8813
6.8395,0.3530,0.0578,0.8829
6.8719,0.3535,0.0574,0.8843
6.9024,0.3537,0.0574,0.8844
6.9379,0.3540,0.0576,0.8827
6.9731,0.3539,0.0577,0.8811
7.0026,0.3538,0.0578,0.8798
7.0364,0.3533,0.0582,0.8787
7.0710,0.3525,0.0585,0.8778
7.1054,0.3518,0.0587,0.8770
7.1406,0.3512,0.0590,0.8763
7.1839,0.3511,0.0591,0.8757
7.2079,0.3505,0.0596,0.8743
7.2384,0.3504,0.0598,0.8730
