time,x_m,y_m,z_m
0.7719,0.2958,0.0840,0.7575
0.8057,0.2949,0.0838,0.7575
0.8388,0.2982,0.0811,0.7697
0.8732,0.3019,0.0785,0.7812
0.9076,0.3057,0.0767,0.7899
0.9404,0.3093,0.0748,0.7973
0.9727,0.3127,0.0729,0.8056
1.0072,0.3156,0.0712,0.8127
1.0392,0.3178,0.0697,0.8197
1.0742,0.3206,0.0700,0.8186
1.1058,0.3228,0.0694,0.8197
1.1408,0.3246,0.0691,0.8196
1.1720,0.3250,0.0698,0.8176
1.2070,0.3280,0.0687,0.8198
1.2403,0.3298,0.0676,0.8228
1.2729,0.3333,0.0663,0.8273
1.3073,0.3355,0.0655,0.8291
1.3413,0.3376,0.0646,0.8317
1.3721,0.3392,0.0641,0.8328
1.4066,0.3395,0.0641,0.8318
1.4387,0.3415,0.0633,0.8350
1.4729,0.3435,0.0627,0.8396
1.5073,0.3452,0.0622,0.8436
1.5416,0.3463,0.0617,0.8449
1.5723,0.3473,0.0613,0.8461
1.6067,0.3484,0.0610,0.8491
1.6399,0.3494,0.0607,0.8516
1.6732,0.3507,0.0602,0.8547
1.7066,0.3510,0.0600,0.8545
1.7401,0.3513,0.0598,0.8542
1.7725,0.3521,0.0598,0.8550
1.8062,0.3530,0.0594,0.8576
1.8406,0.3535,0.0594,0.8579
1.8735,0.3540,0.0595,0.8581
1.9062,0.3531,0.0598,0.8553
1.9406,0.3532,0.0595,0.8559
1.9734,0.3535,0.0595,0.8574
2.0068,0.3528,0.0594,0.8557
2.0400,0.3531,0.0594,0.8573
2.0733,0.3524,0.0597,0.8546
2.1065,0.3530,0.0597,0.8553
2.1396,0.3530,0.0596,0.8549
2.1736,0.3517,0.0600,0.8516
2.2066,0.3513,0.0598,0.8508
2.2395,0.3516,0.0597,0.8511
2.2753,0.3512,0.0596,0.8503
2.3075,0.3520,0.0596,0.8517
2.3409,0.3520,0.0596,0.8509
2.3730,0.3523,0.0593,0.8521
2.4071,0.3517,0.0596,0.8502
2.4397,0.3524,0.0596,0.8516
2.4743,0.3530,0.0596,0.8528
2.5074,0.3530,0.0595,0.8528
2.5403,0.3524,0.0595,0.8518
2.5733,0.3523,0.0594,0.8509
2.6071,0.3526,0.0592,0.8522
2.6401,0.3526,0.0592,0.8523
2.6746,0.3528,0.0590,0.8533
2.7073,0.3526,0.0590,0.8523
2.7420,0.3521,0.0590,0.8513
2.7741,0.3517,0.0591,0.8506
2.8073,0.3508,0.0594,0.8489
2.8422,0.3511,0.0593,0.8495
2.8751,0.3514,0.0592,0.8500
2.9086,0.3516,0.0592,0.8504
2.9406,0.3505,0.0596,0.8477
2.9740,0.3502,0.0599,0.8465
3.0075,0.3501,0.0598,0.8464
3.0415,0.3494,0.0600,0.8454
3.0746,0.3494,0.0599,0.8455
3.1070,0.3499,0.0597,0.8466
3.1406,0.3498,0.0597,0.8465
3.1753,0.3497,0.0596,0.8465
3.2070,0.3502,0.0595,0.8474
3.2408,0.3500,0.0594,0.8472
3.2740,0.3505,0.0593,0.8480
3.3082,0.3497,0.0596,0.8468
3.3406,0.3495,0.0599,0.8457
3.3749,0.3502,0.0596,0.8477
3.4101,0.3499,0.0599,0.8465
3.4415,0.3505,0.0596,0.8484
3.4742,0.3490,0.0603,0.8451
3.5080,0.3491,0.0601,0.8452
3.5426,0.3484,0.0605,0.8434
3.5741,0.3484,0.0606,0.8428
3.6084,0.3478,0.0608,0.8413
3.6417,0.3475,0.0609,0.8410
3.6747,0.3476,0.0610,0.8408
3.7074,0.3472,0.0612,0.8396
3.7409,0.3480,0.0608,0.8415
3.7761,0.3489,0.0604,0.8442
3.8078,0.3482,0.0607,0.8425
3.8418,0.3484,0.0604,0.8430
3.8763,0.3492,0.0601,0.8455
3.9083,0.3480,0.0607,0.8426
3.9428,0.3492,0.0606,0.8451
3.9747,0.3499,0.0602,0.8472
4.0079,0.3505,0.0598,0.8491
4.0440,0.3502,0.0601,0.8476
4.0744,0.3500,0.0599,0.8474
4.1077,0.3492,0.0603,0.8452
4.1405,0.3485,0.0606,0.8433
4.1741,0.3488,0.0603,0.8447
4.2081,0.3487,0.0605,0.8440
4.2432,0.3481,0.0607,0.8423
4.2749,0.3477,0.0608,0.8419
4.3080,0.3478,0.0609,0.8415
4.3410,0.3476,0.0606,0.8422
4.3740,0.3486,0.0602,0.8448
4.4079,0.3485,0.0604,0.8440
4.4412,0.3486,0.0602,0.8443
4.4766,0.3494,0.0599,0.8466
4.5085,0.3499,0.0597,0.8475
4.5420,0.3504,0.0596,0.8483
4.5750,0.3495,0.0600,0.8460
4.6086,0.3488,0.0603,0.8440
4.6421,0.3483,0.0605,0.8433
4.6751,0.3490,0.0602,0.8447
4.7086,0.3490,0.0601,0.8449
4.7430,0.3489,0.0603,0.8441
4.7754,0.3483,0.0606,0.8424
4.8085,0.3477,0.0608,0.8410
4.8423,0.3479,0.0606,0.8417
4.8759,0.3487,0.0603,0.8434
4.9083,0.3498,0.0602,0.8458
