time,x_m,y_m,z_m
0.7714,0.3413,0.1166,0.6427
0.8012,0.3419,0.1167,0.6438
0.8360,0.3425,0.1167,0.6459
0.8680,0.3427,0.1115,0.6729
0.9016,0.3446,0.1124,0.6717
0.9345,0.3458,0.1130,0.6707
0.9679,0.3479,0.1063,0.7000
1.0033,0.3485,0.1017,0.7219
1.0357,0.3497,0.0972,0.7425
1.0681,0.3506,0.0937,0.7591
1.1035,0.3516,0.0899,0.7751
1.1369,0.3518,0.0875,0.7867
1.1684,0.3523,0.0854,0.7966
1.2010,0.3535,0.0829,0.8070
1.2348,0.3541,0.0807,0.8159
1.2679,0.3550,0.0788,0.8234
1.3021,0.3547,0.0781,0.8278
1.3343,0.3549,0.0771,0.8325
1.3701,0.3557,0.0758,0.8376
1.4027,0.3558,0.0752,0.8408
1.4351,0.3559,0.0747,0.8436
1.4678,0.3560,0.0742,0.8460
1.5017,0.3562,0.0733,0.8490
1.5368,0.3564,0.0726,0.8515
1.5689,0.3560,0.0724,0.8527
1.6012,0.3561,0.0723,0.8537
1.6350,0.3563,0.0717,0.8555
1.6698,0.3556,0.0724,0.8541
1.7029,0.3557,0.0723,0.8549
1.7347,0.3558,0.0722,0.8556
1.7690,0.3561,0.0716,0.8571
1.8017,0.3561,0.0716,0.8575
1.8349,0.3562,0.0716,0.8578
1.8682,0.3562,0.0716,0.8580
1.9018,0.3557,0.0720,0.8572
1.9349,0.3558,0.0719,0.8575
1.9686,0.3559,0.0719,0.8578
2.0014,0.3561,0.0714,0.8590
2.0349,0.3562,0.0714,0.8591
2.0676,0.3562,0.0714,0.8591
2.1029,0.3563,0.0715,0.8592
2.1347,0.3559,0.0715,0.8592
2.1685,0.3554,0.0719,0.8582
2.2012,0.3556,0.0718,0.8584
2.2353,0.3557,0.0718,0.8586
2.2690,0.3557,0.0721,0.8577
2.3043,0.3551,0.0727,0.8560
2.3350,0.3552,0.0728,0.8555
2.3713,0.3554,0.0727,0.8561
2.4016,0.3555,0.0725,0.8566
2.4351,0.3550,0.0730,0.8550
2.4685,0.3550,0.0731,0.8547
2.5017,0.3551,0.0732,0.8544
2.5353,0.3552,0.0733,0.8541
2.5686,0.3550,0.0731,0.8549
2.6017,0.3548,0.0729,0.8556
2.6360,0.3545,0.0730,0.8552
2.6704,0.3548,0.0728,0.8558
2.7033,0.3550,0.0726,0.8563
2.7356,0.3547,0.0728,0.8558
2.7707,0.3544,0.0730,0.8553
2.8038,0.3542,0.0731,0.8550
2.8356,0.3544,0.0732,0.8546
2.8686,0.3547,0.0730,0.8553
2.9027,0.3537,0.0737,0.8530
2.9369,0.3540,0.0737,0.8529
2.9694,0.3538,0.0737,0.8529
3.0020,0.3541,0.0737,0.8529
3.0361,0.3539,0.0737,0.8529
3.0699,0.3541,0.0738,0.8529
3.1045,0.3538,0.0741,0.8518
3.1360,0.3535,0.0743,0.8510
3.1700,0.3525,0.0746,0.8503
3.2017,0.3531,0.0741,0.8516
3.2358,0.3530,0.0741,0.8518
3.2693,0.3530,0.0740,0.8519
3.3030,0.3535,0.0737,0.8531
3.3365,0.3540,0.0734,0.8540
3.3701,0.3542,0.0735,0.8538
3.4026,0.3538,0.0738,0.8527
3.4363,0.3535,0.0741,0.8517
3.4705,0.3538,0.0741,0.8519
3.5040,0.3537,0.0740,0.8520
3.5358,0.3536,0.0740,0.8521
3.5695,0.3534,0.0740,0.8522
3.6022,0.3539,0.0736,0.8533
3.6361,0.3536,0.0740,0.8522
3.6710,0.3535,0.0739,0.8523
3.7031,0.3534,0.0739,0.8524
3.7375,0.3537,0.0739,0.8524
3.7697,0.3530,0.0742,0.8515
3.8027,0.3525,0.0744,0.8507
3.8366,0.3525,0.0743,0.8510
3.8698,0.3526,0.0743,0.8513
3.9039,0.3526,0.0742,0.8515
3.9361,0.3526,0.0741,0.8517
3.9710,0.3531,0.0741,0.8518
4.0037,0.3534,0.0740,0.8520
4.0364,0.3537,0.0740,0.8521
4.0713,0.3531,0.0743,0.8512
4.1032,0.3525,0.0745,0.8504
4.1379,0.3525,0.0744,0.8508
4.1702,0.3526,0.0743,0.8511
4.2031,0.3530,0.0742,0.8513
4.2379,0.3528,0.0745,0.8506
4.2714,0.3528,0.0744,0.8509
4.3032,0.3523,0.0746,0.8502
4.3368,0.3524,0.0745,0.8506
4.3710,0.3525,0.0744,0.8509
4.4030,0.3525,0.0743,0.8512
4.4369,0.3526,0.0742,0.8514
4.4713,0.3526,0.0741,0.8516
4.5044,0.3526,0.0741,0.8518
4.5365,0.3527,0.0740,0.8519
4.5703,0.3531,0.0740,0.8521
4.6046,0.3531,0.0740,0.8522
4.6371,0.3525,0.0743,0.8513
4.6703,0.3525,0.0742,0.8515
4.7054,0.3526,0.0741,0.8517
4.7390,0.3521,0.0744,0.8508
4.7722,0.3517,0.0746,0.8501
4.8048,0.3510,0.0754,0.8475
4.8373,0.3513,0.0752,0.8483
4.8714,0.3514,0.0753,0.8480
4.9050,0.3516,0.0751,0.8487
4.9369,0.3518,0.0749,0.8493
4.9706,0.3525,0.0744,0.8508
5.0056,0.3525,0.0743,0.8511
5.0384,0.3526,0.0742,0.8514
5.0701,0.3525,0.0745,0.8506
5.1039,0.3531,0.0741,0.8519
5.1369,0.3536,0.0737,0.8530
5.1706,0.3535,0.0737,0.8530
5.2045,0.3534,0.0737,0.8529
5.2381,0.3533,0.0737,0.8529
5.2703,0.3532,0.0737,0.8529
5.3041,0.3532,0.0737,0.8529
5.3370,0.3531,0.0738,0.8529
5.3718,0.3531,0.0738,0.8528
5.4038,0.3530,0.0738,0.8528
5.4377,0.3530,0.0738,0.8528
5.4721,0.3535,0.0735,0.8538
5.5053,0.3534,0.0735,0.8536
5.5373,0.3528,0.0739,0.8525
5.5719,0.3528,0.0738,0.8526
5.6040,0.3528,0.0738,0.8526
5.6387,0.3532,0.0738,0.8526
5.6729,0.3532,0.0738,0.8526
5.7064,0.3531,0.0738,0.8527
5.7375,0.3531,0.0738,0.8527
5.7713,0.3530,0.0738,0.8527
5.8042,0.3526,0.0738,0.8527
5.8392,0.3526,0.0738,0.8527
5.8722,0.3527,0.0738,0.8527
5.9047,0.3527,0.0738,0.8527
5.9378,0.3527,0.0738,0.8527
5.9716,0.3531,0.0738,0.8527
6.0065,0.3531,0.0738,0.8527
6.0376,0.3525,0.0741,0.8517
6.0717,0.3526,0.0741,0.8519
6.1049,0.3525,0.0743,0.8510
6.1390,0.3525,0.0742,0.8513
6.1715,0.3526,0.0742,0.8515
6.2061,0.3526,0.0741,0.8517
6.2389,0.3520,0.0747,0.8499
6.2712,0.3515,0.0749,0.8493
6.3055,0.3517,0.0747,0.8498
6.3377,0.3524,0.0743,0.8513
6.3727,0.3525,0.0742,0.8515
6.4058,0.3526,0.0741,0.8517
6.4384,0.3525,0.0744,0.8508
6.4737,0.3525,0.0743,0.8511
6.5051,0.3526,0.0742,0.8514
6.5381,0.3526,0.0742,0.8516
6.5716,0.3532,0.0738,0.8528
6.6061,0.3531,0.0738,0.8528
6.6381,0.3531,0.0738,0.8528
6.6714,0.3529,0.0741,0.8518
6.7051,0.3533,0.0741,0.8519
6.7382,0.3532,0.0740,0.8520
6.7738,0.3532,0.0740,0.8522
6.8065,0.3531,0.0739,0.8522
6.8400,0.3531,0.0739,0.8523
6.8737,0.3524,0.0745,0.8504
6.9076,0.3524,0.0744,0.8507
6.9412,0.3520,0.0746,0.8501
6.9738,0.3521,0.0745,0.8505
7.0075,0.3522,0.0744,0.8508
7.0400,0.3521,0.0746,0.8501
7.0740,0.3523,0.0745,0.8505
7.1077,0.3518,0.0747,0.8498
7.1400,0.3520,0.0746,0.8503
7.1753,0.3521,0.0744,0.8507
7.2071,0.3515,0.0750,0.8490
7.2396,0.3517,0.0748,0.8495
7.2734,0.3519,0.0746,0.8500
7.3080,0.3519,0.0748,0.8494
7.3410,0.3520,0.0747,0.8499
7.3755,0.3516,0.0749,0.8494
7.4086,0.3509,0.0750,0.8489
7.4394,0.3517,0.0745,0.8505
7.4727,0.3523,0.0744,0.8508
7.5063,0.3524,0.0743,0.8511
7.5393,0.3519,0.0745,0.8504
7.5731,0.3520,0.0744,0.8507
7.6076,0.3515,0.0750,0.8490
7.6409,0.3517,0.0748,0.8496
7.6735,0.3517,0.0749,0.8491
7.7065,0.3519,0.0748,0.8496
7.7395,0.3520,0.0746,0.8501
7.7745,0.3523,0.0742,0.8515
7.8058,0.3524,0.0741,0.8517
7.8393,0.3519,0.0744,0.8508
7.8721,0.3515,0.0746,0.8501
7.9061,0.3517,0.0745,0.8505
7.9413,0.3519,0.0744,0.8509
7.9744,0.3520,0.0743,0.8511
8.0059,0.3521,0.0742,0.8514
8.0404,0.3523,0.0742,0.8516
8.0737,0.3523,0.0741,0.8518
8.1067,0.3519,0.0744,0.8509
8.1394,0.3515,0.0746,0.8502
8.1737,0.3517,0.0745,0.8506
8.2068,0.3513,0.0747,0.8499
8.2410,0.3514,0.0749,0.8493
8.2732,0.3520,0.0747,0.8499
8.3066,0.3521,0.0746,0.8503
8.3419,0.3522,0.0744,0.8507
8.3764,0.3527,0.0743,0.8510
8.4065,0.3527,0.0743,0.8513
8.4402,0.3528,0.0742,0.8515
8.4731,0.3528,0.0741,0.8517
8.5069,0.3522,0.0744,0.8508
8.5400,0.3523,0.0743,0.8511
8.5748,0.3529,0.0739,0.8524
8.6063,0.3524,0.0742,0.8514
8.6400,0.3525,0.0741,0.8516
8.6728,0.3524,0.0744,0.8508
8.7083,0.3530,0.0740,0.8521
8.7401,0.3530,0.0740,0.8522
8.7752,0.3533,0.0739,0.8523
8.8079,0.3533,0.0739,0.8524
8.8403,0.3532,0.0739,0.8524
8.8750,0.3535,0.0739,0.8525
8.9072,0.3547,0.0725,0.8555
8.9400,0.3559,0.0705,0.8600
8.9751,0.3573,0.0687,0.8638
9.0086,0.3586,0.0673,0.8671
9.0411,0.3597,0.0655,0.8708
9.0735,0.3606,0.0645,0.8730
9.1070,0.3615,0.0631,0.8759
9.1418,0.3621,0.0625,0.8773
9.1741,0.3627,0.0614,0.8796
9.2085,0.3637,0.0605,0.8814
9.2413,0.3645,0.0597,0.8830
9.2738,0.3651,0.0590,0.8844
9.3070,0.3657,0.0584,0.8855
9.3406,0.3662,0.0579,0.8865
9.3778,0.3663,0.0575,0.8874
9.4068,0.3663,0.0572,0.8881
9.4410,0.3663,0.0569,0.8887
9.4741,0.3658,0.0572,0.8882
9.5075,0.3653,0.0575,0.8878
9.5431,0.3654,0.0577,0.8875
9.5753,0.3652,0.0584,0.8862
9.6073,0.3649,0.0585,0.8861
9.6407,0.3650,0.0586,0.8860
9.6739,0.3645,0.0592,0.8850
9.7081,0.3640,0.0600,0.8831
9.7409,0.3630,0.0612,0.8805
9.7746,0.3622,0.0623,0.8784
9.8088,0.3612,0.0640,0.8745
9.8414,0.3604,0.0652,0.8722
9.8752,0.3597,0.0665,0.8693
9.9074,0.3592,0.0672,0.8678
9.9413,0.3587,0.0682,0.8656
9.9756,0.3576,0.0694,0.8627
10.0080,0.3569,0.0700,0.8612
10.0415,0.3568,0.0703,0.8609
10.0748,0.3566,0.0708,0.8597
10.1091,0.3566,0.0709,0.8596
10.1407,0.3564,0.0714,0.8586
10.1759,0.3559,0.0717,0.8577
10.2086,0.3560,0.0717,0.8580
10.2422,0.3555,0.0720,0.8572
10.2744,0.3556,0.0720,0.8575
10.3087,0.3552,0.0723,0.8568
10.3413,0.3549,0.0725,0.8562
10.3786,0.3551,0.0724,0.8567
10.4100,0.3553,0.0723,0.8571
10.4423,0.3549,0.0725,0.8564
10.4745,0.3546,0.0727,0.8559
10.5084,0.3545,0.0725,0.8564
10.5412,0.3543,0.0727,0.8559
10.5752,0.3540,0.0729,0.8554
10.6081,0.3539,0.0730,0.8550
10.6418,0.3536,0.0734,0.8537
10.6754,0.3540,0.0732,0.8545
10.7102,0.3544,0.0730,0.8553
10.7420,0.3541,0.0731,0.8549
10.7766,0.3539,0.0732,0.8546
10.8122,0.3538,0.0733,0.8543
10.8429,0.3536,0.0734,0.8541
10.8754,0.3535,0.0734,0.8539
10.9088,0.3533,0.0738,0.8527
10.9418,0.3532,0.0738,0.8527
10.9762,0.3532,0.0738,0.8527
11.0102,0.3531,0.0738,0.8527
11.0418,0.3525,0.0741,0.8517
11.0750,0.3526,0.0741,0.8519
11.1101,0.3526,0.0740,0.8520
11.1419,0.3527,0.0740,0.8521
11.1767,0.3527,0.0739,0.8522
11.2104,0.3532,0.0736,0.8533
11.2424,0.3532,0.0736,0.8532
11.2749,0.3531,0.0737,0.8532
11.3089,0.3525,0.0740,0.8521
11.3423,0.3526,0.0740,0.8522
11.3798,0.3526,0.0739,0.8523
11.4097,0.3527,0.0739,0.8524
11.4422,0.3525,0.0742,0.8514
11.4752,0.3526,0.0741,0.8516
11.5089,0.3522,0.0741,0.8518
11.5439,0.3515,0.0740,0.8519
11.5759,0.3527,0.0723,0.8560
11.6089,0.3569,0.0701,0.8575
11.6422,0.3643,0.0700,0.8518
11.6753,0.3751,0.0689,0.8450
11.7092,0.3871,0.0682,0.8362
11.7425,0.3997,0.0663,0.8245
11.7760,0.4112,0.0622,0.8146
11.8087,0.4210,0.0594,0.8103
11.8426,0.4295,0.0566,0.8077
