time,x_m,y_m,z_m
1.0220,1.7237,0.0310,-0.0000
1.0878,1.7237,0.0304,-0.0000
1.1221,1.7237,0.0295,-0.0000
1.1547,1.7234,0.0283,0.0015
1.1880,1.7266,0.0279,0.0028
1.2213,1.7343,0.0273,0.0040
1.2540,1.7409,0.0271,0.0049
1.3216,1.7467,0.0267,0.0042
1.3549,1.7509,0.0262,0.0051
1.3883,1.7480,0.0258,0.0059
1.4239,1.7475,0.0243,0.0096
1.4554,1.7499,0.0215,0.0127
1.4919,1.7521,0.0221,0.0124
1.5211,1.7560,0.0224,0.0120
1.5559,1.7596,0.0220,0.0102
1.5879,1.7627,0.0230,0.0087
1.6234,1.7673,0.0215,0.0120
1.6551,1.7687,0.0226,0.0102
1.6876,1.7704,0.0235,0.0087
1.7212,1.7724,0.0250,0.0074
1.7549,1.7732,0.0245,0.0078
1.7885,1.7739,0.0236,0.0082
1.8206,1.7749,0.0251,0.0069
1.8545,1.7753,0.0252,0.0074
1.8879,1.7752,0.0250,0.0079
1.9213,1.7756,0.0254,0.0082
1.9538,1.7760,0.0248,0.0085
1.9875,1.7761,0.0261,0.0072
2.0205,1.7759,0.0258,0.0077
2.0551,1.7795,0.0238,0.0111
2.0878,1.7793,0.0234,0.0110
2.1213,1.7791,0.0228,0.0109
2.1542,1.7789,0.0226,0.0108
2.1879,1.7786,0.0225,0.0092
2.2209,1.7788,0.0231,0.0078
2.2545,1.7785,0.0222,0.0066
2.2883,1.7784,0.0224,0.0072
2.3213,1.7784,0.0223,0.0076
2.3545,1.7783,0.0228,0.0080
2.3877,1.7783,0.0229,0.0084
2.4214,1.7782,0.0230,0.0086
2.4561,1.7785,0.0236,0.0073
2.4880,1.7792,0.0247,0.0062
2.5240,1.7790,0.0235,0.0068
2.5551,1.7787,0.0232,0.0058
2.5882,1.7781,0.0233,0.0065
2.6211,1.7781,0.0240,0.0070
2.6548,1.7784,0.0244,0.0060
2.6885,1.7786,0.0244,0.0051
2.7229,1.7812,0.0228,0.0074
2.7557,1.7807,0.0239,0.0078
2.7888,1.7808,0.0246,0.0082
2.8216,1.7809,0.0241,0.0085
2.8548,1.7804,0.0230,0.0088
2.8888,1.7806,0.0224,0.0090
2.9215,1.7827,0.0215,0.0137
2.9553,1.7820,0.0215,0.0132
2.9880,1.7817,0.0219,0.0112
3.0223,1.7820,0.0219,0.0096
3.0554,1.7814,0.0225,0.0097
3.0893,1.7823,0.0220,0.0097
3.1235,1.7820,0.0230,0.0083
3.1560,1.7814,0.0231,0.0086
3.1884,1.7809,0.0225,0.0088
3.2226,1.7808,0.0224,0.0075
3.2548,1.7803,0.0222,0.0079
3.2892,1.7805,0.0221,0.0083
3.3215,1.7804,0.0228,0.0070
3.3559,1.7799,0.0230,0.0060
