time,x_m,y_m,z_m
0.7462,0.8766,0.1022,0.7814
0.7778,0.8817,0.0963,0.8033
0.8113,0.8832,0.0883,0.8267
0.8463,0.8838,0.0807,0.8484
0.8799,0.8839,0.0748,0.8659
0.9111,0.8832,0.0686,0.8827
0.9450,0.8830,0.0634,0.8969
0.9790,0.8828,0.0596,0.9081
1.0117,0.8822,0.0557,0.9185
1.0446,0.8818,0.0521,0.9283
1.0779,0.8810,0.0493,0.9366
1.1117,0.8807,0.0467,0.9437
1.1455,0.8801,0.0447,0.9497
1.1779,0.8796,0.0427,0.9557
1.2119,0.8792,0.0414,0.9599
1.2448,0.8788,0.0402,0.9635
1.2784,0.8785,0.0389,0.9675
1.3128,0.8786,0.0381,0.9690
1.3457,0.8787,0.0372,0.9712
1.3782,0.8788,0.0367,0.9722
1.4114,0.8785,0.0362,0.9739
1.4447,0.8786,0.0358,0.9744
1.4800,0.8783,0.0355,0.9758
1.5128,0.8780,0.0352,0.9770
1.5343,0.8778,0.0356,0.9780
1.5513,0.8777,0.0360,0.9789
1.5783,0.8775,0.0363,0.9796
1.6120,0.8774,0.0366,0.9802
1.6453,0.8773,0.0368,0.9808
1.6787,0.8772,0.0370,0.9812
1.7127,0.8771,0.0371,0.9816
1.7444,0.8774,0.0371,0.9819
1.7780,0.8773,0.0372,0.9822
1.8120,0.8772,0.0373,0.9824
1.8451,0.8775,0.0372,0.9826
1.8782,0.8778,0.0372,0.9828
1.9123,0.8776,0.0373,0.9829
1.9449,0.8771,0.0371,0.9840
1.9800,0.8770,0.0369,0.9849
2.0127,0.8770,0.0371,0.9847
2.0465,0.8765,0.0369,0.9855
2.0789,0.8762,0.0368,0.9861
2.1118,0.8759,0.0367,0.9867
2.1465,0.8760,0.0369,0.9863
2.1786,0.8761,0.0370,0.9859
2.2125,0.8762,0.0373,0.9846
2.2473,0.8751,0.0368,0.9863
2.2803,0.8706,0.0421,0.9726
2.3125,0.8631,0.0499,0.9501
2.3786,0.8783,0.0432,0.9661
2.4132,0.8825,0.0373,0.9823
2.4453,0.8721,0.0439,0.9632
2.5452,0.8853,0.0415,0.9701
2.5783,0.8855,0.0391,0.9785
2.6130,0.8850,0.0377,0.9830
2.6477,0.8833,0.0375,0.9840
2.6789,0.8823,0.0375,0.9840
2.7126,0.8811,0.0373,0.9849
2.7472,0.8801,0.0371,0.9856
2.7790,0.8796,0.0373,0.9853
2.8126,0.8787,0.0371,0.9860
2.8455,0.8784,0.0372,0.9857
2.8793,0.8782,0.0373,0.9854
2.9134,0.8779,0.0374,0.9851
2.9457,0.8777,0.0376,0.9840
2.9792,0.8780,0.0375,0.9840
3.0135,0.8782,0.0374,0.9839
3.0462,0.8779,0.0375,0.9839
3.0800,0.8781,0.0374,0.9839
3.1139,0.8783,0.0373,0.9839
3.1471,0.8784,0.0372,0.9839
3.1796,0.8782,0.0373,0.9838
3.2128,0.8779,0.0371,0.9847
3.2477,0.8777,0.0372,0.9846
