time,x_m,y_m,z_m
0.8553,-0.0237,0.0008,2.3245
0.9685,-0.0189,0.0035,2.3315
1.0782,-0.0174,0.0057,2.3412
1.1693,-0.0133,0.0071,2.3449
1.2427,-0.0124,0.0086,2.3523
1.3377,-0.0095,0.0098,2.3543
1.4196,-0.0092,0.0114,2.3614
1.5117,-0.0083,0.0117,2.3643
1.5896,-0.0068,0.0137,2.3711
1.6722,-0.0055,0.0152,2.3776
1.7455,-0.0042,0.0169,2.3823
1.8154,-0.0049,0.0170,2.3845
1.8891,-0.0041,0.0180,2.3878
1.9542,-0.0028,0.0192,2.3895
2.0193,-0.0020,0.0191,2.3906
2.0781,-0.0019,0.0198,2.3919
2.1146,-0.0012,0.0200,2.3930
2.1546,-0.0004,0.0208,2.3939
2.2079,-0.0007,0.0205,2.3943
2.2465,-0.0012,0.0209,2.3958
2.2816,-0.0015,0.0205,2.3959
2.3219,-0.0010,0.0207,2.3961
2.3656,-0.0005,0.0207,2.3961
2.4088,-0.0014,0.0208,2.3970
2.4457,0.0005,0.0212,2.3977
2.4813,0.0015,0.0213,2.3979
2.5193,0.0019,0.0218,2.3989
2.5610,0.0019,0.0223,2.3986
2.6069,0.0024,0.0221,2.3983
2.6431,0.0021,0.0223,2.3992
2.6795,0.0009,0.0222,2.3996
2.7162,0.0012,0.0221,2.3999
2.7546,0.0015,0.0222,2.3998
2.8050,0.0015,0.0226,2.4001
2.8415,0.0017,0.0227,2.4003
2.8792,0.0010,0.0228,2.4002
2.9181,-0.0002,0.0224,2.4004
2.9606,0.0003,0.0230,2.4006
3.0063,0.0003,0.0235,2.4015
3.0417,0.0003,0.0237,2.4023
3.0796,0.0007,0.0232,2.4018
3.1167,0.0001,0.0230,2.4014
3.1519,-0.0007,0.0227,2.4019
3.2016,-0.0019,0.0223,2.4014
3.2433,-0.0016,0.0221,2.4000
3.2775,-0.0009,0.0224,2.3999
3.3124,-0.0008,0.0217,2.3982
3.3475,-0.0020,0.0213,2.3984
3.3835,-0.0017,0.0210,2.3973
3.4248,-0.0014,0.0209,2.3965
3.4719,-0.0026,0.0201,2.3942
3.5083,-0.0005,0.0202,2.3926
3.5434,-0.0013,0.0205,2.3944
3.5835,-0.0006,0.0203,2.3947
3.6309,-0.0005,0.0207,2.3958
3.6734,-0.0019,0.0204,2.3959
3.7101,-0.0023,0.0205,2.3960
3.7437,-0.0030,0.0208,2.3968
3.7793,-0.0019,0.0212,2.3972
3.8142,-0.0018,0.0218,2.3983
3.8507,-0.0020,0.0217,2.3980
3.8963,-0.0006,0.0221,2.3986
3.9441,-0.0001,0.0221,2.3991
3.9838,0.0006,0.0219,2.3987
4.0372,-0.0008,0.0218,2.3984
4.0750,-0.0005,0.0217,2.3981
4.1113,-0.0019,0.0210,2.3975
4.1485,-0.0012,0.0214,2.3970
4.1879,-0.0010,0.0205,2.3958
4.2403,-0.0015,0.0206,2.3963
4.2751,-0.0011,0.0202,2.3960
4.3112,-0.0007,0.0201,2.3957
4.3455,0.0000,0.0202,2.3959
4.3840,0.0007,0.0206,2.3960
4.4128,0.0002,0.0209,2.3976
4.4564,0.0006,0.0211,2.3978
4.5053,0.0005,0.0208,2.3977
4.5412,-0.0006,0.0209,2.3983
4.5803,-0.0005,0.0209,2.3984
4.6174,-0.0002,0.0211,2.3989
4.6599,-0.0002,0.0213,2.3990
